\lambda [nm]	
353.1999817	-0.000280383
353.3800049	-0.000286258
353.5599976	-0.000276206
353.7399902	-0.000282513
353.9199829	-0.000285754
354.1000061	-0.000280595
354.2799988	-0.000291549
354.4599915	-0.00028502
354.6399841	-0.000286838
354.8199768	-0.000290127
355	-0.000291342
355.1799927	-0.000287795
355.3599854	-0.000282838
355.539978	-0.000283676
355.7200012	-0.000286049
355.8999939	-0.000287031
356.0799866	-0.000280186
356.2599792	-0.000287861
356.4400024	-0.000281406
356.6199951	-0.000278057
356.7999878	-0.000285731
356.9799805	-0.000286247
357.1600037	-0.000284293
357.3399963	-0.000290039
357.519989	-0.000282134
357.6999817	-0.000287709
357.8800049	-0.000286489
358.0599976	-0.000284691
358.2399902	-0.000291012
358.4199829	-0.000293289
358.6000061	-0.000288904
358.7799988	-0.000289984
358.9599915	-0.000294658
359.1399841	-0.000288881
359.3199768	-0.000284752
359.5	-0.000285767
359.6799927	-0.000291733
359.8599854	-0.00028684
360.039978	-0.000285794
360.2200012	-0.000287287
360.3999939	-0.000287204
360.5799866	-0.000281944
360.7599792	-0.000280622
360.9400024	-0.000286687
361.1199951	-0.000290291
361.2999878	-0.000285526
361.4799805	-0.000286943
361.6600037	-0.000294672
361.8399963	-0.000290812
362.019989	-0.000292386
362.1999817	-0.000292815
362.3800049	-0.000281487
362.5599976	-0.000291942
362.7399902	-0.000289525
362.9199829	-0.000290878
363.1000061	-0.000281443
363.2799988	-0.000289745
363.4599915	-0.000288457
363.6399841	-0.000281654
363.8199768	-0.000293792
364	-0.000291711
364.1799927	-0.000279504
364.3599854	-0.000281483
364.539978	-0.000287936
364.7200012	-0.00028992
364.8999939	-0.00028992
365.0799866	-0.000290279
365.2599792	-0.000279959
365.4400024	-0.000285846
365.6199951	-0.000291701
365.7999878	-0.000283888
365.9799805	-0.000285015
366.1600037	-0.000286783
366.3399963	-0.000290168
366.519989	-0.000293336
366.6999817	-0.000289943
366.8800049	-0.00027949
367.0599976	-0.000284665
367.2399902	-0.000292888
367.4199829	-0.000289624
367.6000061	-0.000284647
367.7799988	-0.000287094
367.9599915	-0.000287127
368.1399841	-0.000288787
368.3199768	-0.000280832
368.5	-0.000284642
368.6799927	-0.000292996
368.8599854	-0.000291674
369.039978	-0.000295855
369.2200012	-0.000287533
369.3999939	-0.000293289
369.5799866	-0.000289201
369.7599792	-0.000284599
369.9400024	-0.000283933
370.1199951	-0.000294849
370.2999878	-0.000287822
370.4799805	-0.000292714
370.6600037	-0.00028432
370.8399963	-0.000284205
371.019989	-0.000286887
371.1999817	-0.000280428
371.3800049	-0.000293958
371.5599976	-0.000292915
371.7399902	-0.0002876
371.9199829	-0.000292433
372.1000061	-0.000290894
372.2799988	-0.000291021
372.4599915	-0.000298871
372.6399841	-0.000294725
372.8199768	-0.000287282
373	-0.000280942
373.1799927	-0.000292481
373.3599854	-0.000285072
373.539978	-0.000289278
373.7200012	-0.000288225
373.8999939	-0.00028955
374.0799866	-0.000291894
374.2599792	-0.000286452
374.4400024	-0.000290059
374.6199951	-0.000290469
374.7999878	-0.000285194
374.9799805	-0.000286356
375.1600037	-0.000288586
375.3399963	-0.000282259
375.519989	-0.000283034
375.6999817	-0.000288121
375.8800049	-0.000289489
376.0599976	-0.000291956
376.2399902	-0.000288759
376.4199829	-0.000290223
376.6000061	-0.000294586
376.7799988	-0.000285577
376.9599915	-0.000292847
377.1399841	-0.000294051
377.3200073	-0.000292425
377.5	-0.000293659
377.6799927	-0.000289632
377.8599854	-0.000297189
378.039978	-0.00028876
