\lambda [nm]	
322.5999756	0.936417618
322.7799988	0.9397966
322.9599915	0.943196869
323.1399841	0.944975357
323.3199768	0.946280518
323.5	0.948772583
323.6799927	0.9535215
323.8599854	0.956832733
324.039978	0.961108627
324.2200012	0.96267273
324.3999939	0.963755341
324.5799866	0.963987122
324.7599792	0.964273987
324.9400024	0.962897873
325.1199951	0.963828583
325.2999878	0.96561058
325.4799805	0.967243042
325.6600037	0.971179886
325.8399963	0.973480072
326.019989	0.974247208
326.1999817	0.97469223
326.3800049	0.97623909
326.5599976	0.976695938
326.7399902	0.975769959
326.9199829	0.976474381
327.0999756	0.976699677
327.2799988	0.976799011
327.4599915	0.978479538
327.6399841	0.978959045
327.8199768	0.980386658
328	0.981681595
328.1799927	0.981411514
328.3599854	0.980843887
328.539978	0.977737808
328.7200012	0.978149567
328.8999939	0.973942566
329.0799866	0.971794815
329.2599792	0.968523712
329.4400024	0.968521881
329.6199951	0.968769531
329.7999878	0.967809525
329.9799805	0.968816528
330.1600037	0.970737839
330.3399963	0.972979813
330.519989	0.974944077
330.6999817	0.975406876
330.8800049	0.978724594
331.0599976	0.979683075
331.2399902	0.979625855
331.4199829	0.982488785
331.5999756	0.983578415
331.7799988	0.985958557
331.9599915	0.985350342
332.1399841	0.98548439
332.3199768	0.986108933
332.5	0.985543976
332.6799927	0.985042801
332.8599854	0.984539337
333.039978	0.983755035
333.2200012	0.980966873
333.3999939	0.981379471
333.5799866	0.97740181
333.7599792	0.977809753
333.9400024	0.978277054
334.1199951	0.977902527
334.2999878	0.978425598
334.4799805	0.978012466
334.6600037	0.979137726
334.8399963	0.978137894
335.019989	0.978343582
335.1999817	0.978399353
335.3800049	0.978924179
335.5599976	0.978787766
335.7399902	0.979111481
335.9199829	0.980311203
336.0999756	0.980525284
336.2799988	0.98203125
336.4599915	0.983409653
336.6399841	0.98414917
336.8199768	0.985547943
337	0.987166748
337.1799927	0.986997299
337.3599854	0.988088226
337.539978	0.987037811
337.7200012	0.985902405
337.8999939	0.985152893
338.0799866	0.983608246
338.2599792	0.982582703
338.4400024	0.982253647
338.6199951	0.98067215
338.7999878	0.979819031
338.9799805	0.980692673
339.1600037	0.980289612
339.3399963	0.981431274
339.519989	0.98196579
339.6999817	0.98270813
339.8800049	0.982782288
340.0599976	0.983748932
340.2399902	0.983706589
340.4199829	0.985260696
340.5999756	0.983463135
340.7799988	0.986550903
340.9599915	0.987098007
341.1399841	0.98664238
341.3199768	0.989648819
341.5	0.988998718
341.6799927	0.990634689
341.8599854	0.988621979
342.039978	0.990459824
342.2200012	0.991170273
342.3999939	0.990372543
342.5799866	0.990704346
342.7599792	0.990187912
342.9400024	0.988299942
343.1199951	0.987907486
343.2999878	0.98704071
343.4799805	0.987784805
343.6600037	0.988691177
343.8399963	0.987373047
344.019989	0.989034119
344.1999817	0.989567032
344.3800049	0.989971237
344.5599976	0.990849762
344.7399902	0.991096802
344.9199829	0.990529633
345.1000061	0.99083992
345.2799988	0.990068131
345.4599915	0.989587174
345.6399841	0.989807129
345.8199768	0.98943573
346	0.988589478
346.1799927	0.98804596
346.3599854	0.98838356
346.539978	0.988784561
346.7200012	0.990020599
346.8999939	0.989344101
347.0799866	0.990550308
347.2599792	0.990616989
347.4400024	0.991313095
347.6199951	0.992017746
347.7999878	0.991615906
347.9799805	0.991638336
348.1600037	0.990765991
348.3399963	0.989735565
348.519989	0.988785172
348.6999817	0.987611771
348.8800049	0.986382294
349.0599976	0.985613937
349.2399902	0.986100845
349.4199829	0.98675621
349.6000061	0.986234512
349.7799988	0.986932449
349.9599915	0.988025818
350.1399841	0.988188019
350.3199768	0.989763336
350.5	0.989752502
350.6799927	0.989958954
350.8599854	0.990378113
351.039978	0.990074616
351.2200012	0.989706345
351.3999939	0.989122086
351.5799866	0.988261795
351.7599792	0.987238159
351.9400024	0.987266693
352.1199951	0.986807556
352.2999878	0.987094803
352.4799805	0.9865242
352.6600037	0.985826874
352.8399963	0.986578827
353.019989	0.985948792
353.1999817	0.987188187
353.3800049	0.985039902
353.5599976	0.98507019
353.7399902	0.984028931
353.9199829	0.982478561
354.1000061	0.981923599
354.2799988	0.980838242
354.4599915	0.979801483
354.6399841	0.979459076
354.8199768	0.979771042
355	0.978937912
355.1799927	0.979343414
355.3599854	0.978952408
355.539978	0.981381989
355.7200012	0.981896286
355.8999939	0.982855911
356.0799866	0.984404831
356.2599792	0.985195923
356.4400024	0.987364121
356.6199951	0.98791214
356.7999878	0.988971176
356.9799805	0.988910828
357.1600037	0.988511581
357.3399963	0.988386536
357.519989	0.988694916
357.6999817	0.987582321
357.8800049	0.98772728
358.0599976	0.986488724
358.2399902	0.985113831
358.4199829	0.983965912
358.6000061	0.9843676
358.7799988	0.984314957
358.9599915	0.983738251
359.1399841	0.982729797
359.3199768	0.983492889
359.5	0.982769089
359.6799927	0.982891235
359.8599854	0.982900543
360.039978	0.982971878
360.2200012	0.983091202
360.3999939	0.983099823
360.5799866	0.98300293
360.7599792	0.983248673
360.9400024	0.982860718
361.1199951	0.982998276
361.2999878	0.981869888
361.4799805	0.980667419
361.6600037	0.980915604
361.8399963	0.978980866
362.019989	0.978448105
362.1999817	0.977854157
362.3800049	0.976487579
362.5599976	0.975027618
362.7399902	0.973879242
362.9199829	0.973284683
363.1000061	0.97263855
363.2799988	0.971673737
363.4599915	0.970584259
363.6399841	0.970544128
363.8199768	0.970844879
364	0.971122894
364.1799927	0.971127014
364.3599854	0.971017456
364.539978	0.971292725
364.7200012	0.972067871
364.8999939	0.971064987
365.0799866	0.971198654
365.2599792	0.971492081
365.4400024	0.971651764
365.6199951	0.971947022
365.7999878	0.971718674
365.9799805	0.970475082
366.1600037	0.970918808
366.3399963	0.970643311
366.519989	0.971106262
366.6999817	0.971840897
366.8800049	0.972900848
367.0599976	0.973371582
367.2399902	0.975062943
367.4199829	0.976432953
367.6000061	0.977582855
367.7799988	0.978741074
367.9599915	0.980075302
368.1399841	0.981193695
368.3199768	0.981904373
368.5	0.982249374
368.6799927	0.982651138
368.8599854	0.983420792
369.039978	0.982704239
369.2200012	0.982917633
369.3999939	0.983606186
369.5799866	0.983614044
369.7599792	0.983664169
369.9400024	0.984533463
370.1199951	0.984936752
370.2999878	0.98643425
370.4799805	0.987609253
370.6600037	0.988588944
370.8399963	0.988904572
371.019989	0.989706192
371.1999817	0.990148163
371.3800049	0.989676209
371.5599976	0.989488373
371.7399902	0.98873909
371.9199829	0.987810822
372.1000061	0.988287125
372.2799988	0.986205902
372.4599915	0.985390091
372.6399841	0.984280014
372.8199768	0.984540939
373	0.983899384
373.1799927	0.984472122
373.3599854	0.984635086
373.539978	0.985047379
373.7200012	0.986392212
373.8999939	0.986975174
374.0799866	0.986760407
374.2599792	0.986900711
374.4400024	0.98574234
374.6199951	0.984704361
374.7999878	0.983256989
374.9799805	0.981827393
375.1600037	0.980270309
375.3399963	0.978262024
375.519989	0.976824722
375.6999817	0.976079865
375.8800049	0.975035934
376.0599976	0.975813217
376.2399902	0.976469421
376.4199829	0.977897797
376.6000061	0.979604569
376.7799988	0.981929474
376.9599915	0.983911133
377.1399841	0.986371918
377.3200073	0.987902908
377.5	0.98893074
377.6799927	0.987386856
377.8599854	0.987261658
378.039978	0.984792709
378.2200012	0.981464539
378.3999939	0.979809723
378.5799866	0.975401001
378.7599792	0.97219101
378.9400024	0.969081955
379.1199951	0.967115631
379.2999878	0.966358948
379.4799805	0.966728821
379.6600037	0.968206177
379.8399963	0.969910812
380.019989	0.972623673
380.1999817	0.976465378
380.3800049	0.978514481
380.5599976	0.980119095
380.7399902	0.981306458
380.9199829	0.980622025
381.1000061	0.979480591
381.2799988	0.976334763
381.4599915	0.973534393
381.6399841	0.969105606
381.8200073	0.96524559
382	0.96327034
382.1799927	0.961375275
382.3599854	0.960254059
382.539978	0.957522888
382.7200012	0.953160248
382.8999939	0.94140976
383.0799866	0.919575501
383.2599792	0.884193039
383.4400024	0.832533417
383.6199951	0.77031517
383.7999878	0.696831131
383.9799805	0.613594589
384.1600037	0.530323143
384.3399963	0.45291584
384.519989	0.3786903
384.6999817	0.321495514
384.8800049	0.272088966
385.0599976	0.228625202
385.2399902	0.195734806
385.4199829	0.167768726
385.6000061	0.1450634
385.7799988	0.128414822
385.9599915	0.114490833
386.1399841	0.102549191
386.3200073	0.093186951
386.5	0.085355625
386.6799927	0.078347378
386.8599854	0.072940364
387.039978	0.068039684
387.2200012	0.063085375
387.3999939	0.058771019
387.5799866	0.054338379
387.7599792	0.049810648
387.9400024	0.045621133
388.1199951	0.041356144
388.2999878	0.036914661
388.4799805	0.032798252
388.6600037	0.029019878
388.8399963	0.025152082
389.019989	0.022277751
389.1999817	0.019524263
389.3800049	0.016917305
389.5599976	0.014935184
389.7399902	0.013150361
389.9199829	0.011538795
390.1000061	0.010391649
390.2799988	0.009340742
390.4599915	0.008496348
390.6399841	0.007750002
390.8200073	0.007177311
391	0.006649445
391.1799927	0.006305321
391.3599854	0.005994354
391.539978	0.005742134
391.7200012	0.005545543
391.8999939	0.005434951
392.0799866	0.005310579
392.2599792	0.00527971
392.4400024	0.005303854
392.6199951	0.005265509
392.7999878	0.005330349
392.9799805	0.005331779
393.1600037	0.005401323
393.3399963	0.005386983
393.519989	0.005360003
393.6999817	0.005313308
393.8800049	0.005198835
394.0599976	0.005067722
394.2399902	0.004880259
394.4199829	0.0046498
394.6000061	0.004398186
394.7799988	0.004112577
394.9599915	0.003811554
395.1399841	0.003543841
395.3200073	0.003262503
395.5	0.003049613
395.6799927	0.002860368
395.8599854	0.00265066
396.039978	0.002516648
396.2200012	0.002365072
396.3999939	0.002267206
396.5799866	0.002208526
396.7599792	0.002167053
396.9400024	0.002116998
397.1199951	0.002098062
397.2999878	0.002119548
397.4799805	0.002153255
397.6600037	0.00220156
397.8399963	0.002279221
398.019989	0.002399557
398.1999817	0.002531542
398.3800049	0.002690149
398.5599976	0.002911851
398.7399902	0.003098156
398.9199829	0.003317332
399.1000061	0.003555137
399.2799988	0.003747882
399.4599915	0.003876455
399.6399841	0.003940904
399.8200073	0.00388879
400	0.003764623
400.1799927	0.003543919
400.3599854	0.003288414
400.539978	0.002974214
400.7200012	0.002640814
400.8999939	0.002383336
401.0799866	0.002119984
401.2599792	0.001885183
401.4400024	0.001693463
401.6199951	0.001521209
401.7999878	0.001392478
401.9799805	0.001281025
402.1600037	0.001183949
402.3399963	0.001097801
402.519989	0.001035043
402.6999817	0.000978193
402.8800049	0.00093192
403.0599976	0.000903144
403.2399902	0.000880144
403.4199829	0.000852369
403.6000061	0.000841287
403.7799988	0.000826794
403.9599915	0.000826696
404.1399841	0.000821857
404.3200073	0.000828208
404.5	0.000825976
404.6799927	0.000827696
404.8599854	0.000825026
405.039978	0.000823382
405.2200012	0.000825026
405.3999939	0.000829131
405.5799866	0.000826681
405.7599792	0.000832889
405.9400024	0.000824848
406.1199951	0.000805514
406.2999878	0.0008088
406.4799805	0.000807002
406.6600037	0.000791401
406.8399963	0.00078081
407.019989	0.000775847
407.1999817	0.000750954
407.3800049	0.000757606
407.5599976	0.000746754
407.7399902	0.000755733
407.9199829	0.000742702
408.1000061	0.000733135
408.2799988	0.000736026
408.4599915	0.000736795
408.6399841	0.000741952
408.8200073	0.000750517
409	0.000758599
409.1799927	0.000763585
409.3599854	0.000773292
409.5400085	0.000777703
409.7200012	0.00078934
409.8999939	0.000800017
410.0799866	0.000799791
410.2599792	0.000796401
410.4400024	0.000788981
410.6199951	0.00078246
410.7999878	0.000779275
410.9799805	0.000759378
411.1600037	0.00074496
411.3399963	0.000713416
411.519989	0.000690153
411.6999817	0.000673467
411.8800049	0.000637646
412.0599976	0.000615079
412.2399902	0.000589361
412.4199829	0.000566004
412.6000061	0.000554094
412.7799988	0.000512916
412.9599915	0.000496383
413.1399841	0.000480415
413.3200073	0.000461155
413.5	0.000446681
413.6799927	0.000438865
413.8599854	0.000421913
414.0400085	0.000416475
414.2200012	0.000412332
414.3999939	0.000410427
414.5799866	0.000392599
414.7599792	0.000393246
414.9400024	0.000386153
415.1199951	0.000387335
415.2999878	0.000391662
415.4799805	0.000387336
415.6600037	0.000381503
415.8399963	0.000384951
416.019989	0.000385266
416.1999817	0.000373626
416.3800049	0.000376554
416.5599976	0.00036577
416.7399902	0.000361423
416.9199829	0.000357285
417.1000061	0.000348326
417.2799988	0.000340512
417.4599915	0.000332978
417.6399841	0.000312241
417.8200073	0.00030446
418	0.000296902
418.1799927	0.00028581
418.3599854	0.000272432
418.5400085	0.000256101
418.7200012	0.000248814
418.8999939	0.00023861
419.0799866	0.000226678
419.2599792	0.000214823
419.4400024	0.000206302
419.6199951	0.000195231
419.7999878	0.000194491
419.9799805	0.000184817
420.1600037	0.000179775
420.3399963	0.000180636
420.519989	0.000172096
420.6999817	0.000170458
420.8800049	0.000165148
421.0599976	0.000167407
421.2399902	0.000167641
421.4199829	0.000165779
421.6000061	0.000167574
421.7799988	0.000167969
421.9599915	0.000175684
422.1399841	0.000170762
422.3200073	0.00017699
422.5	0.00018593
422.6799927	0.000189126
422.8599854	0.000201863
423.0400085	0.000206363
423.2200012	0.000220657
423.3999939	0.000239611
423.5799866	0.000253192
423.7599792	0.000269146
423.9400024	0.000292186
424.1199951	0.000311904
424.2999878	0.000349933
424.4799805	0.000377297
424.6600037	0.000419084
424.8399963	0.000462973
425.019989	0.000516962
425.1999817	0.000577704
425.3800049	0.000646304
425.5599976	0.000729334
425.7399902	0.000808365
425.9199829	0.000904989
426.1000061	0.00101207
426.2799988	0.001119169
426.4599915	0.001234992
426.6399841	0.001348441
426.8200073	0.001450046
427	0.001558501
427.1799927	0.001630894
427.3599854	0.001701419
427.5400085	0.001722957
427.7200012	0.001722939
427.8999939	0.001715804
428.0799866	0.001677351
428.2599792	0.001617256
428.4400024	0.001560701
428.6199951	0.001481264
428.7999878	0.001400084
428.9799805	0.001325614
429.1600037	0.001252805
429.3399963	0.001183351
429.519989	0.001111571
429.6999817	0.001037079
429.8800049	0.000981516
430.0599976	0.000909569
430.2399902	0.000860645
430.4199829	0.000810666
430.6000061	0.000769855
430.7799988	0.000722811
430.9599915	0.00067824
431.1399841	0.000655183
431.3200073	0.000612909
431.5	0.000598596
431.6799927	0.000571659
431.8599854	0.000556439
432.0400085	0.000536441
432.2200012	0.000526139
432.3999939	0.000515725
432.5799866	0.000506635
432.7599792	0.000510168
432.9400024	0.000507898
433.1199951	0.000509092
433.2999878	0.00051764
433.4799805	0.000523581
433.6600037	0.000541934
433.8399963	0.000554582
434.019989	0.000565806
434.1999817	0.000586292
434.3800049	0.000610398
434.5599976	0.0006352
434.7399902	0.000651718
434.9199829	0.000681798
435.1000061	0.000713235
435.2799988	0.000722327
435.4599915	0.000732193
435.6399841	0.000741904
435.8200073	0.000732542
436	0.000712817
436.1799927	0.000689341
436.3599854	0.000653429
436.5400085	0.000618686
436.7200012	0.000579957
436.8999939	0.000532351
437.0799866	0.000488088
437.2600098	0.000445806
437.4400024	0.000403884
437.6199951	0.000371249
437.7999878	0.000340165
437.9799805	0.000317485
438.1600037	0.000289106
438.3399963	0.000267773
438.519989	0.000250251
438.6999817	0.000229441
438.8800049	0.000220809
439.0599976	0.00020763
439.2399902	0.000196433
439.4199829	0.000189105
439.6000061	0.000184962
439.7799988	0.000175886
439.9599915	0.000174754
440.1399841	0.000169141
440.3200073	0.000166715
440.5	0.000166919
