\lambda [nm]	
377.5	-0.000295547
377.6799927	-0.000290752
377.8599854	-0.000298415
378.039978	-0.000289864
378.2200012	-0.000289927
378.3999939	-0.000288757
378.5799866	-0.000290356
378.7599792	-0.000295391
378.9400024	-0.000295362
379.1199951	-0.000283781
379.2999878	-0.000286273
379.4799805	-0.00028934
379.6600037	-0.000293868
379.8399963	-0.000307285
380.019989	-0.000289963
380.1999817	-0.000291916
380.3800049	-0.000289228
380.5599976	-0.000290215
380.7399902	-0.000283785
380.9199829	-0.000288528
381.1000061	-0.000289417
381.2799988	-0.000292281
381.4599915	-0.000289436
381.6399841	-0.000294237
381.8200073	-0.000290833
382	-0.000290751
382.1799927	-0.000287318
382.3599854	-0.000290682
382.539978	-0.000293825
382.7200012	-0.000287976
382.8999939	-0.000285098
383.0799866	-0.000299484
383.2599792	-0.000293814
383.4400024	-0.000285174
383.6199951	-0.000289305
383.7999878	-0.000290195
383.9799805	-0.000283485
384.1600037	-0.000284186
384.3399963	-0.000281958
384.519989	-0.000280077
384.6999817	-0.000280336
384.8800049	-0.000285487
385.0599976	-0.000278213
385.2399902	-0.000273579
385.4199829	-0.000274267
385.6000061	-0.000290024
385.7799988	-0.000287811
385.9599915	-0.0002888
386.1399841	-0.000302059
386.3200073	-0.000291016
386.5	-0.000292262
386.6799927	-0.000298886
386.8599854	-0.000288626
387.039978	-0.000295239
387.2200012	-0.000286096
387.3999939	-0.000291329
387.5799866	-0.000290507
387.7599792	-0.000285354
387.9400024	-0.000294313
388.1199951	-0.000299237
388.2999878	-0.000287972
388.4799805	-0.000291398
388.6600037	-0.000297674
388.8399963	-0.000293136
389.019989	-0.000297009
389.1999817	-0.000290708
389.3800049	-0.000290613
389.5599976	-0.000298019
389.7399902	-0.000292786
389.9199829	-0.000291755
390.1000061	-0.000292765
390.2799988	-0.000288047
390.4599915	-0.000294535
390.6399841	-0.000286532
390.8200073	-0.000293556
391	-0.000289496
391.1799927	-0.000294894
391.3599854	-0.000293918
391.539978	-0.000294142
391.7200012	-0.000291997
391.8999939	-0.000289302
392.0799866	-0.0002989
392.2599792	-0.000286126
392.4400024	-0.000289152
392.6199951	-0.000300813
392.7999878	-0.000296942
392.9799805	-0.000292943
393.1600037	-0.000294989
393.3399963	-0.000289933
393.519989	-0.000295302
393.6999817	-0.000293136
393.8800049	-0.000295789
394.0599976	-0.000299008
394.2399902	-0.000294132
394.4199829	-0.000293369
394.6000061	-0.00029042
394.7799988	-0.000288633
394.9599915	-0.000284784
395.1399841	-0.000289601
395.3200073	-0.000290205
395.5	-0.000285531
395.6799927	-0.000285457
395.8599854	-0.000292512
396.039978	-0.000289188
396.2200012	-0.000292654
396.3999939	-0.000291076
396.5799866	-0.000294997
396.7599792	-0.000289493
396.9400024	-0.000292148
397.1199951	-0.000287593
397.2999878	-0.00028947
397.4799805	-0.000293706
397.6600037	-0.000289409
397.8399963	-0.000289341
398.019989	-0.000293168
398.1999817	-0.000295027
398.3800049	-0.000301323
398.5599976	-0.00028397
398.7399902	-0.000293742
398.9199829	-0.000288224
399.1000061	-0.000291015
399.2799988	-0.000288879
399.4599915	-0.000292144
399.6399841	-0.000289473
399.8200073	-0.000290981
400	-0.000283131
400.1799927	-0.000285893
400.3599854	-0.00028831
400.539978	-0.000281237
400.7200012	-0.000278111
400.8999939	-0.000267332
401.0799866	-0.000280532
401.2599792	-0.000277631
401.4400024	-0.000277158
401.6199951	-0.00028251
401.7999878	-0.0002859
401.9799805	-0.000285912
402.1600037	-0.000284336
402.3399963	-0.000286752
402.519989	-0.000281952
402.6999817	-0.00028749
402.8800049	-0.00029018
403.0599976	-0.000284743
403.2399902	-0.000291481
403.4199829	-0.000297443
403.6000061	-0.000289501
403.7799988	-0.000289604
403.9599915	-0.000286096
404.1399841	-0.000291797
404.3200073	-0.00028291
404.5	-0.000279643
404.6799927	-0.000283737
404.8599854	-0.000290122
405.039978	-0.000281999
405.2200012	-0.000278366
405.3999939	-0.000267209
405.5799866	-0.000252717
405.7599792	-0.000215268
405.9400024	-8.58434E-05
406.1199951	0.000303458
406.2999878	0.0010736
406.4799805	0.001883765
406.6600037	0.002242931
406.8399963	0.001614997
407.019989	0.000644719
407.1999817	-2.97708E-05
407.3800049	-0.00020223
407.5599976	-0.000237579
407.7399902	-0.000252212
407.9199829	-0.000266084
408.1000061	-0.000268465
408.2799988	-0.00027544
408.4599915	-0.000277725
408.6399841	-0.00028245
408.8200073	-0.000275515
409	-0.000271369
409.1799927	-0.000277414
409.3599854	-0.000276298
409.5400085	-0.000281354
409.7200012	-0.000281505
409.8999939	-0.000274825
410.0799866	-0.000273934
410.2599792	-0.000260071
410.4400024	-0.000265309
410.6199951	-0.000254515
410.7999878	-0.00025285
410.9799805	-0.000257162
411.1600037	-0.000253827
411.3399963	-0.000262537
411.519989	-0.000262704
411.6999817	-0.000267727
411.8800049	-0.000271643
412.0599976	-0.000279491
412.2399902	-0.000278823
412.4199829	-0.000284786
412.6000061	-0.000285438
412.7799988	-0.000281639
412.9599915	-0.00028326
413.1399841	-0.000288846
413.3200073	-0.000289738
413.5	-0.000289899
413.6799927	-0.000284612
413.8599854	-0.000286645
414.0400085	-0.000291346
414.2200012	-0.00029135
414.3999939	-0.00028955
414.5799866	-0.000286053
414.7599792	-0.000290497
414.9400024	-0.000288956
415.1199951	-0.000292969
415.2999878	-0.000285773
415.4799805	-0.000283076
415.6600037	-0.000287986
415.8399963	-0.000283708
416.019989	-0.000278964
416.1999817	-0.000286054
416.3800049	-0.000287319
416.5599976	-0.000284678
416.7399902	-0.000281942
416.9199829	-0.000287138
417.1000061	-0.000286319
417.2799988	-0.00028698
417.4599915	-0.000292342
417.6399841	-0.000286263
417.8200073	-0.000292199
418	-0.000290214
418.1799927	-0.000293192
418.3599854	-0.000288637
418.5400085	-0.000293228
418.7200012	-0.000290749
418.8999939	-0.0002874
