\lambda [nm]	
385.6000061	-0.000277838
385.7799988	-0.000267582
385.9599915	-0.000271109
386.1399841	-0.000278152
386.3200073	-0.000265224
386.5	-0.00026123
386.6799927	-0.000260994
386.8599854	-0.000245497
387.039978	-0.000240493
387.2200012	-0.000217127
387.3999939	-0.000209887
387.5799866	-0.000195799
387.7599792	-0.000190387
387.9400024	-0.00019153
388.1199951	-0.000204997
388.2999878	-0.000201506
388.4799805	-0.000221272
388.6600037	-0.000230663
388.8399963	-0.000234927
389.019989	-0.00024641
389.1999817	-0.000239901
389.3800049	-0.000245958
389.5599976	-0.000250407
389.7399902	-0.000247726
389.9199829	-0.000247605
390.1000061	-0.00024239
390.2799988	-0.000226957
390.4599915	-0.000221644
390.6399841	-0.000190486
390.8200073	-0.000170392
391	-0.000128779
391.1799927	-0.000109586
391.3599854	-9.33425E-05
391.539978	-0.000101292
391.7200012	-0.000131523
391.8999939	-0.000170461
392.0799866	-0.0002113
392.2599792	-0.000228041
392.4400024	-0.000244428
392.6199951	-0.000268319
392.7999878	-0.000269824
392.9799805	-0.000273388
393.1600037	-0.000276684
393.3399963	-0.000273953
393.519989	-0.000282666
393.6999817	-0.000280414
393.8800049	-0.000286637
394.0599976	-0.00028658
394.2399902	-0.000286222
394.4199829	-0.000286039
394.6000061	-0.000285324
394.7799988	-0.000284307
394.9599915	-0.000280919
395.1399841	-0.000287901
395.3200073	-0.000288427
395.5	-0.000285378
395.6799927	-0.000288321
395.8599854	-0.000294998
396.039978	-0.000291261
396.2200012	-0.000289287
396.3999939	-0.00029125
396.5799866	-0.000298922
396.7599792	-0.000289117
396.9400024	-0.000292553
397.1199951	-0.00028896
397.2999878	-0.000290221
397.4799805	-0.000297509
397.6600037	-0.000289469
397.8399963	-0.000290841
398.019989	-0.000291834
398.1999817	-0.000297827
398.3800049	-0.000301728
398.5599976	-0.000284871
398.7399902	-0.000295117
398.9199829	-0.000292783
399.1000061	-0.000291935
399.2799988	-0.000290696
399.4599915	-0.000293484
399.6399841	-0.000293722
399.8200073	-0.000299599
400	-0.000290601
400.1799927	-0.000295374
400.3599854	-0.000296814
400.539978	-0.000297077
400.7200012	-0.00029318
400.8999939	-0.000284983
401.0799866	-0.000298821
401.2599792	-0.000295006
401.4400024	-0.000293487
401.6199951	-0.000298999
401.7999878	-0.000298816
401.9799805	-0.000298662
402.1600037	-0.000294372
402.3399963	-0.000293536
402.519989	-0.000292661
402.6999817	-0.000295498
402.8800049	-0.000294702
403.0599976	-0.0002904
403.2399902	-0.000296993
403.4199829	-0.000302316
403.6000061	-0.000294895
403.7799988	-0.000292562
403.9599915	-0.000294337
404.1399841	-0.000298486
404.3200073	-0.000292898
404.5	-0.000288882
404.6799927	-0.000293745
404.8599854	-0.000298175
405.039978	-0.000294978
405.2200012	-0.00029474
405.3999939	-0.000290462
405.5799866	-0.000293159
405.7599792	-0.000296668
405.9400024	-0.000286204
406.1199951	-0.000297611
406.2999878	-0.000295532
406.4799805	-0.000292926
406.6600037	-0.000295641
406.8399963	-0.000295992
407.019989	-0.000296213
407.1999817	-0.000290563
407.3800049	-0.000296523
407.5599976	-0.000292777
407.7399902	-0.000289679
407.9199829	-0.00029611
408.1000061	-0.000288003
408.2799988	-0.000292886
408.4599915	-0.000295619
408.6399841	-0.000296045
408.8200073	-0.0002929
409	-0.00028602
409.1799927	-0.000289126
409.3599854	-0.000289715
409.5400085	-0.000294516
409.7200012	-0.000296411
409.8999939	-0.000292378
410.0799866	-0.000294337
410.2599792	-0.000285704
410.4400024	-0.000289976
410.6199951	-0.000285522
410.7999878	-0.000286947
410.9799805	-0.000294948
411.1600037	-0.000295124
411.3399963	-0.000299716
411.519989	-0.000295255
411.6999817	-0.000294635
411.8800049	-0.000293179
412.0599976	-0.000297811
412.2399902	-0.000292923
412.4199829	-0.000294696
412.6000061	-0.000295295
412.7799988	-0.000288829
412.9599915	-0.000287528
413.1399841	-0.000297689
413.3200073	-0.000295821
413.5	-0.000294158
413.6799927	-0.000290617
413.8599854	-0.000288832
414.0400085	-0.00029227
414.2200012	-0.000295273
414.3999939	-0.000291978
414.5799866	-0.00028955
414.7599792	-0.000295066
414.9400024	-0.000295449
415.1199951	-0.000293694
415.2999878	-0.000290922
415.4799805	-0.000287917
415.6600037	-0.000293175
415.8399963	-0.000287668
416.019989	-0.000285795
416.1999817	-0.000295043
416.3800049	-0.000295361
416.5599976	-0.000293463
416.7399902	-0.000290346
416.9199829	-0.000292275
417.1000061	-0.000290834
417.2799988	-0.000289943
417.4599915	-0.000293134
417.6399841	-0.000290896
417.8200073	-0.00029201
418	-0.000291285
418.1799927	-0.000292243
418.3599854	-0.000289998
418.5400085	-0.00029194
418.7200012	-0.000290803
418.8999939	-0.000283718
419.0799866	-0.000285654
419.2599792	-0.000292573
419.4400024	-0.000291862
419.6199951	-0.00028897
419.7999878	-0.000290605
